group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,649796970.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,629276743.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,593136650.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,636898404.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,610257546.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,625721002.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,649209970.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,619323644.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,638479131.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,630208218.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,634057911.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,594039819.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,577840359.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,636397592.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,640277298.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,605720560.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,613308808.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,645872796.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,659547398.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,603232236.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,617792742.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,634867424.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,642730398.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,599917628.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,649474637.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,623302807.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,676102088.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,623193588.0,ns,1
insert 10000 elements and search for the 1000 lowest elements in the AvlTree,,,,,639692320.0,ns,1
